days,date,circ_supply,network_gas_burn,day_locked_pledge,day_renewed_pledge,network_locked_pledge,network_locked,network_locked_reward,disbursed_reserve,total_vest,network_RBP,network_QAP,day_onboarded_power_QAP,day_renewed_power_QAP,cum_simple_reward,network_baseline,capped_power,cum_capped_power,network_time,cum_baseline_reward,cum_network_reward,day_network_reward,day_pledge_per_QAP,day_rewards_per_sector,1y_return_per_sector,1y_sector_roi
1451,2024-10-05,551640192.3104944,47579919.78073444,615705.9222544108,430025.88636377093,197354681.4683601,208779469.86613336,11424788.397772316,17066618.96177341,461973896.39674383,-1.1471644356103946e+18,2.0112230158609318e+19,5.5394275416657096e+16,7.348820874700574e+16,121520006.09433113,5.016291701427747e+19,-1.1471644356103946e+18,8.481640232345325e+21,991.7394432896494,207439060.50451383,328959066.59884495,55243.50754857063,0.11517286588506924,9.437802028568123e-05,,
1452,2024-10-06,551985477.6845118,47601793.69468127,617758.3464185232,432316.24370178126,197251912.74194232,208654611.85280657,11402699.11086331,17066618.96177341,462161021.991721,-1.1520184770813276e+18,2.0121010858457215e+19,5.5394275416657096e+16,6.992036335314504e+16,121585980.7307266,5.025826857693821e+19,-1.1520184770813276e+18,8.480488213868243e+21,991.6787938612234,207428261.54777873,329014242.2785053,55175.67966037989,0.11502528165289529,9.422100761952448e-05,,
1453,2024-10-07,552347285.7214366,47623667.6086281,642165.0387680263,456960.74892110116,197132476.5325085,208513142.76917964,11380666.23667022,17066618.96177341,462348147.5866981,-1.1590661789398467e+18,2.0126564742948233e+19,5.5394275416657096e+16,7.476058638846306e+16,121651934.48908691,5.035380138744184e+19,-1.1590661789398467e+18,8.479329147689304e+21,991.6177663475097,207417395.06168586,329069329.5507728,55087.27226746082,0.11487777204245289,9.404407988600802e-05,,
1454,2024-10-08,552679489.975138,47645541.52257493,597389.5046086332,412416.13461663696,197042505.81275606,208401213.91403484,11358708.101277856,17066618.96177341,462535273.18167526,-1.1634613364841472e+18,2.0133080014177706e+19,5.5394275416657096e+16,7.331850628078203e+16,121717867.37601899,5.044951579031109e+19,-1.1634613364841472e+18,8.478165686352819e+21,991.5565003048056,207406485.89228004,329124353.26829904,55023.71752625704,0.11473453800356255,9.39051817658087e-05,,
1455,2024-10-09,553121761.4900694,47667415.43652176,762100.3165381833,577368.5616951081,196842325.19313574,208179135.20167282,11336810.00853616,17066618.96177341,462722398.7766524,-1.169885700461871e+18,2.0140402376517497e+19,5.5394275416657096e+16,7.21078696153018e+16,121783779.39812773,5.054541213072356e+19,-1.169885700461871e+18,8.476995800652358e+21,991.4948887771438,207395514.99171034,329179294.3898381,54941.1215390563,0.11458466993072956,9.373013142614678e-05,,
1456,2024-10-10,553525381.2133949,47689289.35046859,703866.4015283716,519345.5667678317,196680615.65005106,207995472.04491925,11314856.394867262,17066618.96177341,462909524.37162954,-1.1926881697446195e+18,2.0129124154514534e+19,5.5394275416657096e+16,1.0000874612942875e+17,121849670.56201597,5.064149075451301e+19,-1.1926881697446195e+18,8.475803112482613e+21,991.4320689455353,207384328.7133639,329233999.27537984,54704.88554173708,0.11445384127022344,9.337940092360688e-05,,
1457,2024-10-11,553861162.9580616,47711163.26441542,601773.2603423377,417470.342173914,196586605.0067702,207879578.40948513,11292973.402714014,17066618.96177341,463096649.9666067,-1.1975968761849057e+18,2.014239442928962e+19,5.5394275416657096e+16,6.318600096235533e+16,121915540.87428433,5.073775200817052e+19,-1.1975968761849057e+18,8.474605515606428e+21,991.3689830270204,207373094.8292976,329288635.7035819,54636.42820209265,0.1143186728428933,9.320110302557153e-05,,
1458,2024-10-12,554187375.8655398,47733037.17836225,587034.3468493612,402971.3406709864,196502020.45250124,207773168.90724885,11271148.454746684,17066618.96177341,463283775.5615838,-1.204235807108008e+18,2.0149513722319634e+19,5.5394275416657096e+16,7.241247357995922e+16,121981390.34153143,5.0834196238845846e+19,-1.204235807108008e+18,8.47340127979932e+21,991.3055397672289,207361797.0862623,329343187.42779374,54551.72421181202,0.11416986119859576,9.302373234768919e-05,,
1459,2024-10-13,554547596.2298987,47754911.09230908,637648.3426208921,453827.8418937979,196383289.05863246,207632679.4160985,11249390.357465113,17066618.96177341,463470901.15656096,-1.2095754533869056e+18,2.0159193643227107e+19,5.5394275416657096e+16,6.857153176377769e+16,122047218.97035381,5.093082379434862e+19,-1.2095754533869056e+18,8.472191704345932e+21,991.2418075010717,207350447.64961815,329397666.619972,54479.19217824936,0.11401944089259587,9.285543970026499e-05,,
1460,2024-10-14,554881876.5403557,47776785.00625591,598387.5441649159,414800.73937152355,196290342.03717816,207517990.76617283,11227648.728993751,17066618.96177341,463658026.7515381,-1.2220185275223982e+18,2.0161146795534537e+19,5.5394275416657096e+16,8.01616846638489e+16,122113026.76734592,5.102763502314953e+19,-1.2220185275223982e+18,8.47096968581841e+21,991.177411778174,207338979.83212695,329452006.5994729,54339.97950088978,0.1138744849187292,9.260919021662989e-05,,
1461,2024-10-15,555207255.2440815,47798658.92020274,584648.2470220423,401301.9571268964,196206153.68898872,207412115.13641283,11205961.4474232,17066618.96177341,463845152.34651524,-1.229063340414118e+18,2.0172411809796133e+19,5.5394275416657096e+16,6.6193891732590584e+16,122178813.73910011,5.112463027438171e+19,-1.229063340414118e+18,8.469740622477996e+21,991.112636876332,207327444.2533083,329506257.9924084,54251.39293551445,0.1137252993049596,9.240658404854757e-05,,
1462,2024-10-16,555551253.6583154,47820532.83414957,612190.526821111,429088.2724019485,196103197.09513992,207287507.5951302,11184310.499989372,17066618.96177341,464032277.9414924,-1.2386212438115267e+18,2.0180834247031783e+19,5.5394275416657096e+16,7.045775727151565e+16,122244579.89220661,5.122180989784196e+19,-1.2386212438115267e+18,8.468502001234185e+21,991.0473501854757,207315817.29212278,329560397.1843294,54139.19192099571,0.1135739299613906,9.217698570285582e-05,,
1463,2024-10-17,555895357.3702227,47842406.7480964,611964.987486822,429098.49942758685,195999997.9169141,207162726.7415249,11162728.82460989,17066618.96177341,464219403.5364695,-1.2434695018512998e+18,2.019225049426716e+19,5.5394275416657096e+16,6.596704227192826e+16,122310325.2332536,5.131917424399194e+19,-1.2434695018512998e+18,8.467258531732333e+21,990.9817998040412,207304143.12834755,329614468.3616011,54071.17727172375,0.11342768975187169,9.200913513001683e-05,,
1464,2024-10-18,556193123.9695601,47864280.66204323,542082.3873636343,359451.51555516623,195942994.44501913,207084196.9683195,11141202.523299463,17066618.96177341,464406529.13144666,-1.2502350113017733e+18,2.0197715398132437e+19,5.5394275416657096e+16,7.489405732707766e+16,122376049.76882717,5.141672366395949e+19,-1.2502350113017733e+18,8.466008296721032e+21,990.9158845463422,207292403.73787567,329668453.50670284,53985.145101726055,0.11328154265145904,9.183788487411487e-05,,
1465,2024-10-19,556543551.3913299,47886154.57599006,620656.1031130375,438276.6060124534,195833189.53811142,206952922.28461105,11119732.746498719,17066618.96177341,464593654.7264238,-1.2567912094724465e+18,2.021101293597463e+19,5.5394275416657096e+16,6.314510636170092e+16,122441753.50551134,5.151445850953992e+19,-1.2567912094724465e+18,8.464751505511559e+21,990.8496153138161,207280601.05822238,329722354.5637337,53901.05703085661,0.11312562095864408,9.163450754327917e-05,,
1466,2024-10-20,556917433.2566078,47908028.48993689,655463.3342881775,473316.4849484942,195699792.0641521,206798117.76937228,11098325.705219299,17066618.96177341,464780780.32140094,-1.26241896353195e+18,2.021742879673792e+19,5.5394275416657096e+16,7.346762198004643e+16,122507436.44988802,5.1612379133197206e+19,-1.26241896353195e+18,8.463489086548027e+21,990.7830409389672,207268743.7828546,329776180.2327426,53825.669008910656,0.11298131514118684,9.14773052113898e-05,,
1467,2024-10-21,557301605.5104554,47929902.40388372,670569.3115591498,488651.3943870287,195555942.38506618,206632851.31136432,11076908.926297259,17066618.96177341,464967905.9163781,-1.2782812082177946e+18,2.0215418159881855e+19,5.5394275416657096e+16,8.610736840907771e+16,122573098.60853706,5.171048588806531e+19,-1.2782812082177946e+18,8.462210805339809e+21,990.7156214825251,207256735.73901483,329829834.3475519,53654.11480927467,0.11283931401702203,9.11948163838569e-05,,
1468,2024-10-22,557643552.3646394,47951776.31783055,606882.2394370852,425186.00669622765,195454181.28000957,206509738.87890378,11055557.598893339,17066618.96177341,465155031.5113552,-1.283475018023164e+18,2.0225329375031652e+19,5.5394275416657096e+16,6.82245904002972e+16,122638739.98803623,5.180877912794947e+19,-1.283475018023164e+18,8.460927330321786e+21,990.6479194071193,207244677.10020894,329883417.08824515,53582.74069327116,0.11270180848957936,9.10288736031179e-05,,
