,Unnamed: 0,date,index,Unnamed: 0.1,cum_sum_baseline,cum_sum_realized,effective_baseline_power,new_baseline_power,total_mined_reward,effective_network_time
83,83,2020-11-15,435501.9982499125,435501.9982499125,1.1698647681729542e+23,1.1698499349562549e+23,2.966028176675707e+18,3.379404225140036e+18,1.1531961237816831e+25,39964.06335316766
84,84,2020-11-16,438357.9992994746,438357.9992994746,1.2002844214585867e+23,1.2002695738188166e+23,2.9680340071510554e+18,3.385828533470741e+18,1.1707109042349357e+25,40989.3173380035
85,85,2020-11-17,441215.5017482517,441215.5017482517,1.2313255940038568e+23,1.2313106767034533e+23,2.9700808197592474e+18,3.392266121039726e+18,1.1882514947920465e+25,42034.80524475525
86,86,2020-11-18,444079.00244157657,444079.00244157657,1.2628530755455769e+23,1.262838243255017e+23,2.9721596989198203e+18,3.398715440009694e+18,1.206090622716408e+25,43095.93512382281
87,87,2020-11-19,446944.9993019197,446944.9993019197,1.2948676034839716e+23,1.2948527104748378e+23,2.974270693255941e+18,3.405171182898868e+18,1.2241846382284646e+25,44172.698429319375
88,88,2020-11-20,449804.4961457604,449804.4961457604,1.3274509981683132e+23,1.327436123593072e+23,2.976419197889918e+18,3.4116440642875976e+18,1.2423032936595822e+25,45267.81009110021
89,89,2020-11-21,452660.0010500525,452660.0010500525,1.3606126749716517e+23,1.3605978186990684e+23,2.9786058336586173e+18,3.418128547751945e+18,1.26053997105418e+25,46381.54637731887
90,90,2020-11-22,455519.50174703007,455519.50174703007,1.394275809812844e+23,1.3942609273442524e+23,2.98082553488684e+18,3.424627480669263e+18,1.278852809893207e+25,47511.28825995807
91,91,2020-11-23,458380.4993006993,458380.4993006993,1.4284836178450022e+23,1.428468527335346e+23,2.9830811511228795e+18,3.431139730443157e+18,1.2972050630582486e+25,48658.44790209791
92,92,2020-11-24,461238.9989499475,461238.9989499475,1.4632429741782114e+23,1.4632281159277245e+23,2.9853731357021245e+18,3.4376630004544973e+18,1.31585087238964e+25,49823.21561078054
93,93,2020-11-25,464097.5010489511,464097.5010489511,1.49846967512628e+23,1.4984548020930616e+23,2.987695936348278e+18,3.4441908263326746e+18,1.3351521744735318e+25,51002.73181818182
94,94,2020-11-26,466954.4978976875,466954.4978976875,1.5341103786706585e+23,1.5340953196932043e+23,2.9900460357613414e+18,3.450740779502035e+18,1.3545598389025656e+25,52195.17799579538
95,95,2020-11-27,469811.5020979021,469811.5020979021,1.570210708405101e+23,1.570195781466109e+23,2.992426442298903e+18,3.457303111073749e+18,1.3740017967063416e+25,53402.04615384615
96,96,2020-11-28,472670.4993002099,472670.4993002099,1.6068553346707843e+23,1.6068404067063874e+23,2.9948427390078525e+18,3.463873801898269e+18,1.3935799807413364e+25,54626.129811056686
97,97,2020-11-29,475527.9996499825,475527.9996499825,1.6438997205093987e+23,1.6438848190450906e+23,2.997285395318165e+18,3.470452933456452e+18,1.4134699333484246e+25,55862.56317815891
98,98,2020-11-30,478380.9971919972,478380.9971919972,1.6817207430108698e+23,1.6817057625676083e+23,2.999779261991462e+18,3.4770562817221786e+18,1.4331154179248062e+25,57123.879255879256
99,99,2020-12-01,481232.5017519272,481232.5017519272,1.7199959992226013e+23,1.7199808399001642e+23,3.002303080216488e+18,3.4836623072398853e+18,1.4530259485706334e+25,58399.27715487036
100,100,2020-12-02,484089.00174886326,484089.00174886326,1.75879374861699e+23,1.7587786430945174e+23,3.0048613509298145e+18,3.490284854782185e+18,1.4733985679790249e+25,59690.99160545645
101,101,2020-12-03,486946.993699685,486946.993699685,1.7981147876050693e+23,1.7980996497560557e+23,3.0074541266457006e+18,3.4969223066968515e+18,1.4937792496110644e+25,60999.006650332514
102,102,2020-12-04,489808.0083769634,489808.0083769634,1.8380243056626417e+23,1.838009295863878e+23,3.010085705869326e+18,3.5035686176500634e+18,1.5145122000915542e+25,62325.44432809773
103,103,2020-12-05,492664.4940308989,492664.4940308989,1.8785329935022303e+23,1.878517948651833e+23,3.0127567935317023e+18,3.510221352259835e+18,1.5353649894759678e+25,63670.61130617977
